synced_at,source_env,bot_group,strategy,model,symbol,side,qty,filled_qty,filled_avg_price,filled_at,submitted_at,status,order_type,order_class,time_in_force,order_id,client_order_id
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,AMD,sell,1,0,,,2026-05-12 14:09:03.357387+00:00,canceled,stop,bracket,day,d71338b5-32b1-4e6f-94e2-7d6992eb387e,7758633b-c80e-4395-bc40-962b4cc7e866
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,QQQ,sell,1,0,,,2026-05-12 14:09:02.468066+00:00,canceled,limit,bracket,day,95adbce9-819f-427f-aaf6-c3faeb15f59c,045a070e-b75c-4a3e-a9a4-2873a0176985
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,QQQ,buy,1,1,706.11,2026-05-12 14:09:02.458146+00:00,2026-05-12 14:09:01.927807+00:00,filled,market,bracket,day,90ed5b64-9cbc-424b-99df-3185d82a1d6f,8c889446-2b0a-4580-96eb-b466d2c0ff7f
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,QQQ,sell,1,1,707.94,2026-05-12 13:48:21.903127+00:00,2026-05-12 13:48:21.605103+00:00,filled,stop,bracket,day,62d23230-b993-4f86-950c-18a274ba1080,e169f452-cc9a-4d6c-a6a7-a30d4aebf578
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,QQQ,sell,1,0,,,2026-05-12 13:47:03.250533+00:00,canceled,limit,bracket,day,11d79b1d-9da2-4d13-b552-c37353a3d0a6,a281fd4c-e313-47e9-9b2f-8849c093d958
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,QQQ,buy,1,1,709.23,2026-05-12 13:47:03.235779+00:00,2026-05-12 13:47:02.078084+00:00,filled,market,bracket,day,f22e0898-1d1c-4621-8797-f141f9ce2231,6269bfdf-69ca-4f5c-ba8e-15ce05a0f13e
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,TSLA,sell,1,1,447.25,2026-05-12 13:43:47.562442+00:00,2026-05-12 13:42:02.739042+00:00,filled,limit,bracket,day,b83e7346-79c8-4838-8817-31ea1ae515c2,00a30aa9-d5fe-417a-bce8-ece6debec66f
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,TSLA,buy,1,1,444.17,2026-05-12 13:42:02.655076+00:00,2026-05-12 13:42:02.466997+00:00,filled,market,bracket,day,6632d65e-2d51-4348-99a5-61850aaa5ec1,f56ce04a-017a-491c-a14f-ee9a8c085c4a
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,TSLA,sell,1,0,,,2026-05-12 13:42:02.395640+00:00,canceled,stop,bracket,day,68fe8f49-2c64-4815-9420-ff7e65733c6f,d7485115-fe22-411c-a709-bb0abf468496
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,AMD,sell,1,1,452.33,2026-05-12 13:32:47.987986+00:00,2026-05-12 13:32:06.238218+00:00,filled,stop,bracket,day,5ef31399-392e-4839-a555-d55891b59c1f,f47f1980-4d84-4911-aa11-94490d6e85d1
